location,salary_bin,job_count
"Cape Canaveral, FL, US",High,0
"Cape Canaveral, FL, US",Very High,0
"Cape Canaveral, FL, US",Ultra High,0
"Carlsbad, CA",Low,0
"Carlsbad, CA",Medium,0
"Carlsbad, CA",High,1
"Carlsbad, CA",Very High,0
"Carlsbad, CA",Ultra High,0
"Carmel, IN, US",Low,0
"Carmel, IN, US",Medium,2
"Carmel, IN, US",High,0
"Carmel, IN, US",Very High,0
"Carmel, IN, US",Ultra High,0
"Carson City, NV, US",Low,0
"Carson City, NV, US",Medium,1
"Carson City, NV, US",High,0
"Carson City, NV, US",Very High,0
"Carson City, NV, US",Ultra High,0
"Cary, NC, US",Low,0
"Cary, NC, US",Medium,1
"Cary, NC, US",High,0
"Cary, NC, US",Very High,0
"Cary, NC, US",Ultra High,0
"Casselberry, FL, US",Low,1
"Casselberry, FL, US",Medium,0
"Casselberry, FL, US",High,0
"Casselberry, FL, US",Very High,0
"Casselberry, FL, US",Ultra High,0
"Casselberry, FL, USA",Low,1
"Casselberry, FL, USA",Medium,0
"Casselberry, FL, USA",High,0
"Casselberry, FL, USA",Very High,0
"Casselberry, FL, USA",Ultra High,0
"Centennial, CO",Low,0
"Centennial, CO",Medium,0
"Centennial, CO",High,1
"Centennial, CO",Very High,0
"Centennial, CO",Ultra High,0
"Center, GA, USA",Low,0
"Center, GA, USA",Medium,1
"Center, GA, USA",High,0
"Center, GA, USA",Very High,0
"Center, GA, USA",Ultra High,0
"Century City, CA, US",Low,1
"Century City, CA, US",Medium,0
"Century City, CA, US",High,0
"Century City, CA, US",Very High,0
"Century City, CA, US",Ultra High,0
"Cerritos, CA, USA",Low,0
"Cerritos, CA, USA",Medium,0
"Cerritos, CA, USA",High,1
"Cerritos, CA, USA",Very High,0
"Cerritos, CA, USA",Ultra High,0
"Chamblee, GA, US",Low,0
"Chamblee, GA, US",Medium,1
"Chamblee, GA, US",High,0
"Chamblee, GA, US",Very High,0
"Chamblee, GA, US",Ultra High,0
"Chantilly, VA",Low,0
"Chantilly, VA",Medium,1
"Chantilly, VA",High,1
"Chantilly, VA",Very High,0
"Chantilly, VA",Ultra High,0
"Chantilly, VA, US",Low,0
"Chantilly, VA, US",Medium,1
"Chantilly, VA, US",High,1
"Chantilly, VA, US",Very High,0
"Chantilly, VA, US",Ultra High,0
"Chantilly, VA, USA",Low,0
"Chantilly, VA, USA",Medium,1
"Chantilly, VA, USA",High,0
"Chantilly, VA, USA",Very High,0
"Chantilly, VA, USA",Ultra High,0
"Chapel Hill, NC",Low,1
"Chapel Hill, NC",Medium,0
"Chapel Hill, NC",High,0
"Chapel Hill, NC",Very High,0
"Chapel Hill, NC",Ultra High,0
"Chapel Hill, NC, US",Low,1
"Chapel Hill, NC, US",Medium,0
"Chapel Hill, NC, US",High,0
"Chapel Hill, NC, US",Very High,0
"Chapel Hill, NC, US",Ultra High,0
"Charleston, SC, US",Low,0
"Charleston, SC, US",Medium,1
"Charleston, SC, US",High,0
"Charleston, SC, US",Very High,0
"Charleston, SC, US",Ultra High,0
"Charleston, SC, USA",Low,0
"Charleston, SC, USA",Medium,1
"Charleston, SC, USA",High,0
"Charleston, SC, USA",Very High,0
"Charleston, SC, USA",Ultra High,0
"Charleston, WV, US",Low,0
"Charleston, WV, US",Medium,1
"Charleston, WV, US",High,0
"Charleston, WV, US",Very High,0
"Charleston, WV, US",Ultra High,0
"Charlevoix, MI, USA",Low,0
"Charlevoix, MI, USA",Medium,1
"Charlevoix, MI, USA",High,0
"Charlevoix, MI, USA",Very High,0
"Charlevoix, MI, USA",Ultra High,0
"Charlotte, NC",Low,4
"Charlotte, NC",Medium,3
"Charlotte, NC",High,0
"Charlotte, NC",Very High,1
"Charlotte, NC",Ultra High,0
"Charlotte, NC, US",Low,0
"Charlotte, NC, US",Medium,5
"Charlotte, NC, US",High,3
"Charlotte, NC, US",Very High,1
"Charlotte, NC, US",Ultra High,0
"Charlotte, NC, USA",Low,1
"Charlotte, NC, USA",Medium,0
"Charlotte, NC, USA",High,0
"Charlotte, NC, USA",Very High,0
"Charlotte, NC, USA",Ultra High,0
"Charlottesville, VA, US",Low,0
"Charlottesville, VA, US",Medium,1
"Charlottesville, VA, US",High,0
"Charlottesville, VA, US",Very High,0
"Charlottesville, VA, US",Ultra High,0
"Chattahoochee, FL, US",Low,0
"Chattahoochee, FL, US",Medium,1
"Chattahoochee, FL, US",High,0
"Chattahoochee, FL, US",Very High,0
"Chattahoochee, FL, US",Ultra High,0
"Chattanooga, TN, US",Low,0
"Chattanooga, TN, US",Medium,1
"Chattanooga, TN, US",High,0
"Chattanooga, TN, US",Very High,0
"Chattanooga, TN, US",Ultra High,0
"Cherry Hill, NJ",Low,0
"Cherry Hill, NJ",Medium,1
"Cherry Hill, NJ",High,0
"Cherry Hill, NJ",Very High,0
"Cherry Hill, NJ",Ultra High,0
"Chesapeake, VA",Low,0
"Chesapeake, VA",Medium,1
"Chesapeake, VA",High,0
"Chesapeake, VA",Very High,0
"Chesapeake, VA",Ultra High,0
"Chesapeake, VA, USA",Low,1
"Chesapeake, VA, USA",Medium,0
"Chesapeake, VA, USA",High,0
"Chesapeake, VA, USA",Very High,0
"Chesapeake, VA, USA",Ultra High,0
"Chesterfield, MO, USA",Low,0
"Chesterfield, MO, USA",Medium,1
"Chesterfield, MO, USA",High,0
"Chesterfield, MO, USA",Very High,0
"Chesterfield, MO, USA",Ultra High,0
"Chesterfield, VA, USA",Low,0
"Chesterfield, VA, USA",Medium,1
"Chesterfield, VA, USA",High,0
"Chesterfield, VA, USA",Very High,0
"Chesterfield, VA, USA",Ultra High,0
"Chestnut Hill, MA",Low,0
"Chestnut Hill, MA",Medium,2
"Chestnut Hill, MA",High,0
"Chestnut Hill, MA",Very High,0
"Chestnut Hill, MA",Ultra High,0
"Chestnut Hill, MA, US",Low,0
"Chestnut Hill, MA, US",Medium,1
"Chestnut Hill, MA, US",High,0
"Chestnut Hill, MA, US",Very High,0
"Chestnut Hill, MA, US",Ultra High,0
"Cheyenne, WY, USA",Low,1
"Cheyenne, WY, USA",Medium,0
"Cheyenne, WY, USA",High,0
"Cheyenne, WY, USA",Very High,0
"Cheyenne, WY, USA",Ultra High,0
"Chicago, IL",Low,2
"Chicago, IL",Medium,7
"Chicago, IL",High,1
"Chicago, IL",Very High,0
"Chicago, IL",Ultra High,0
"Chicago, IL, US",Low,1
"Chicago, IL, US",Medium,12
"Chicago, IL, US",High,3
"Chicago, IL, US",Very High,0
"Chicago, IL, US",Ultra High,0
"Chicago, IL, USA",Low,0
"Chicago, IL, USA",Medium,7
"Chicago, IL, USA",High,0
"Chicago, IL, USA",Very High,0
"Chicago, IL, USA",Ultra High,0
"Chillicothe, IL",Low,0
"Chillicothe, IL",Medium,1
"Chillicothe, IL",High,0
"Chillicothe, IL",Very High,0
"Chillicothe, IL",Ultra High,0
"Chino Hills, CA, USA",Low,0
"Chino Hills, CA, USA",Medium,1
"Chino Hills, CA, USA",High,0
"Chino Hills, CA, USA",Very High,0
"Chino Hills, CA, USA",Ultra High,0
"Chino, CA, USA",Low,1
"Chino, CA, USA",Medium,1
"Chino, CA, USA",High,0
"Chino, CA, USA",Very High,0
"Chino, CA, USA",Ultra High,0
"Chula Vista, CA, USA",Low,0
"Chula Vista, CA, USA",Medium,1
"Chula Vista, CA, USA",High,0
"Chula Vista, CA, USA",Very High,0
"Chula Vista, CA, USA",Ultra High,0
"Cincinnati, OH, US",Low,1
"Cincinnati, OH, US",Medium,1
"Cincinnati, OH, US",High,1
"Cincinnati, OH, US",Very High,0
"Cincinnati, OH, US",Ultra High,0
"Cincinnati, OH, USA",Low,1
"Cincinnati, OH, USA",Medium,4
"Cincinnati, OH, USA",High,0
"Cincinnati, OH, USA",Very High,0
"Cincinnati, OH, USA",Ultra High,0
"Circleville, OH, US",Low,0
"Circleville, OH, US",Medium,0
"Circleville, OH, US",High,1
"Circleville, OH, US",Very High,0
"Circleville, OH, US",Ultra High,0
"Clackamas, OR, USA",Low,0
"Clackamas, OR, USA",Medium,1
"Clackamas, OR, USA",High,0
"Clackamas, OR, USA",Very High,0
"Clackamas, OR, USA",Ultra High,0
"Clearwater, FL",Low,0
"Clearwater, FL",Medium,0
"Clearwater, FL",High,1
"Clearwater, FL",Very High,0
"Clearwater, FL",Ultra High,0
"Cleveland, OH",Low,0
"Cleveland, OH",Medium,2
"Cleveland, OH",High,1
"Cleveland, OH",Very High,0
"Cleveland, OH",Ultra High,0
"Cleveland, OH, US",Low,0
"Cleveland, OH, US",Medium,1
"Cleveland, OH, US",High,0
"Cleveland, OH, US",Very High,0
"Cleveland, OH, US",Ultra High,0
"Clifton, NJ",Low,0
"Clifton, NJ",Medium,1
"Clifton, NJ",High,0
"Clifton, NJ",Very High,0
"Clifton, NJ",Ultra High,0
"Clifton, NJ, US",Low,0
"Clifton, NJ, US",Medium,1
"Clifton, NJ, US",High,0
"Clifton, NJ, US",Very High,0
"Clifton, NJ, US",Ultra High,0
"Clifton, NJ, USA",Low,0
"Clifton, NJ, USA",Medium,1
"Clifton, NJ, USA",High,0
"Clifton, NJ, USA",Very High,0
"Clifton, NJ, USA",Ultra High,0
"Coeur d'Alene, ID, US",Low,0
"Coeur d'Alene, ID, US",Medium,0
"Coeur d'Alene, ID, US",High,1
"Coeur d'Alene, ID, US",Very High,0
"Coeur d'Alene, ID, US",Ultra High,0
"Cold Springs, NV",Low,0
"Cold Springs, NV",Medium,1
"Cold Springs, NV",High,0
"Cold Springs, NV",Very High,0
"Cold Springs, NV",Ultra High,0
"Cold Springs, NV, US",Low,0
"Cold Springs, NV, US",Medium,1
"Cold Springs, NV, US",High,0
"Cold Springs, NV, US",Very High,0
"Cold Springs, NV, US",Ultra High,0
"Colorado Springs, CO",Low,0
"Colorado Springs, CO",Medium,1
"Colorado Springs, CO",High,1
"Colorado Springs, CO",Very High,0
"Colorado Springs, CO",Ultra High,0
"Colorado Springs, CO, US",Low,0
"Colorado Springs, CO, US",Medium,1
"Colorado Springs, CO, US",High,0
"Colorado Springs, CO, US",Very High,0
"Colorado Springs, CO, US",Ultra High,0
"Colorado Springs, CO, USA",Low,0
"Colorado Springs, CO, USA",Medium,2
"Colorado Springs, CO, USA",High,2
"Colorado Springs, CO, USA",Very High,1
"Colorado Springs, CO, USA",Ultra High,0
"Columbia, MO",Low,0
"Columbia, MO",Medium,1
"Columbia, MO",High,0
"Columbia, MO",Very High,0
"Columbia, MO",Ultra High,0
"Columbia, SC",Low,1
"Columbia, SC",Medium,2
"Columbia, SC",High,0
"Columbia, SC",Very High,0
"Columbia, SC",Ultra High,0
"Columbia, SC, US",Low,0
"Columbia, SC, US",Medium,1
"Columbia, SC, US",High,1
"Columbia, SC, US",Very High,0
"Columbia, SC, US",Ultra High,0
"Columbia, SC, USA",Low,0
"Columbia, SC, USA",Medium,1
"Columbia, SC, USA",High,0
"Columbia, SC, USA",Very High,0
"Columbia, SC, USA",Ultra High,0
"Columbus, GA",Low,0
"Columbus, GA",Medium,2
"Columbus, GA",High,0
"Columbus, GA",Very High,0
"Columbus, GA",Ultra High,0
"Columbus, GA, US",Low,0
"Columbus, GA, US",Medium,2
"Columbus, GA, US",High,0
"Columbus, GA, US",Very High,0
"Columbus, GA, US",Ultra High,0
"Columbus, OH",Low,3
"Columbus, OH",Medium,7
"Columbus, OH",High,0
"Columbus, OH",Very High,0
"Columbus, OH",Ultra High,0
"Columbus, OH, US",Low,2
"Columbus, OH, US",Medium,3
"Columbus, OH, US",High,2
"Columbus, OH, US",Very High,0
"Columbus, OH, US",Ultra High,0
"Columbus, OH, USA",Low,1
"Columbus, OH, USA",Medium,2
"Columbus, OH, USA",High,0
"Columbus, OH, USA",Very High,0
"Columbus, OH, USA",Ultra High,0
Connecticut,Low,0
Connecticut,Medium,2
Connecticut,High,0
Connecticut,Very High,0
Connecticut,Ultra High,0
"Conshohocken, PA",Low,0
"Conshohocken, PA",Medium,1
"Conshohocken, PA",High,0
"Conshohocken, PA",Very High,0
"Conshohocken, PA",Ultra High,0
"Coppell, TX",Low,0
"Coppell, TX",Medium,1
"Coppell, TX",High,0
"Coppell, TX",Very High,0
"Coppell, TX",Ultra High,0
"Coppell, TX, US",Low,0
"Coppell, TX, US",Medium,1
"Coppell, TX, US",High,1
"Coppell, TX, US",Very High,0
"Coppell, TX, US",Ultra High,0
"Coppell, TX, USA",Low,0
"Coppell, TX, USA",Medium,1
"Coppell, TX, USA",High,0
"Coppell, TX, USA",Very High,0
"Coppell, TX, USA",Ultra High,0
"Coral Gables, FL, US",Low,0
"Coral Gables, FL, US",Medium,0
"Coral Gables, FL, US",High,1
"Coral Gables, FL, US",Very High,0
"Coral Gables, FL, US",Ultra High,0
"Coral Springs, FL, USA",Low,0
"Coral Springs, FL, USA",Medium,1
"Coral Springs, FL, USA",High,0
"Coral Springs, FL, USA",Very High,0
"Coral Springs, FL, USA",Ultra High,0
"Corona, CA",Low,0
"Corona, CA",Medium,1
"Corona, CA",High,0
"Corona, CA",Very High,0
"Corona, CA",Ultra High,1
"Corona, CA, US",Low,0
"Corona, CA, US",Medium,1
"Corona, CA, US",High,0
"Corona, CA, US",Very High,0
"Corona, CA, US",Ultra High,0
"Corona, CA, USA",Low,2
"Corona, CA, USA",Medium,1
"Corona, CA, USA",High,0
"Corona, CA, USA",Very High,0
"Corona, CA, USA",Ultra High,0
"Corvallis, OR, USA",Low,0
"Corvallis, OR, USA",Medium,1
"Corvallis, OR, USA",High,0
"Corvallis, OR, USA",Very High,0
"Corvallis, OR, USA",Ultra High,0
"Costa Mesa, CA",Low,0
"Costa Mesa, CA",Medium,0
"Costa Mesa, CA",High,1
"Costa Mesa, CA",Very High,0
"Costa Mesa, CA",Ultra High,0
"Costa Mesa, CA, US",Low,0
"Costa Mesa, CA, US",Medium,0
"Costa Mesa, CA, US",High,1
"Costa Mesa, CA, US",Very High,0
"Costa Mesa, CA, US",Ultra High,0
"Costa Mesa, CA, USA",Low,0
"Costa Mesa, CA, USA",Medium,4
"Costa Mesa, CA, USA",High,0
"Costa Mesa, CA, USA",Very High,0
"Costa Mesa, CA, USA",Ultra High,0
"Covington, KY, USA",Low,0
"Covington, KY, USA",Medium,2
"Covington, KY, USA",High,0
"Covington, KY, USA",Very High,0
"Covington, KY, USA",Ultra High,0
"Cowpens, SC",Low,0
"Cowpens, SC",Medium,0
"Cowpens, SC",High,1
"Cowpens, SC",Very High,0
"Cowpens, SC",Ultra High,0
"Crystal City, VA, US",Low,0
"Crystal City, VA, US",Medium,0
"Crystal City, VA, US",High,1
"Crystal City, VA, US",Very High,1
"Crystal City, VA, US",Ultra High,0
"Culver City, CA",Low,1
"Culver City, CA",Medium,0
"Culver City, CA",High,0
"Culver City, CA",Very High,0
"Culver City, CA",Ultra High,0
"Culver City, CA, USA",Low,0
"Culver City, CA, USA",Medium,2
"Culver City, CA, USA",High,0
"Culver City, CA, USA",Very High,0
"Culver City, CA, USA",Ultra High,0
"Cupertino, CA",Low,0
"Cupertino, CA",Medium,0
"Cupertino, CA",High,0
"Cupertino, CA",Very High,1
"Cupertino, CA",Ultra High,0
"Dallas, TX",Low,1
"Dallas, TX",Medium,3
"Dallas, TX",High,1
"Dallas, TX",Very High,0
"Dallas, TX",Ultra High,0
"Dallas, TX, US",Low,0
"Dallas, TX, US",Medium,2
"Dallas, TX, US",High,3
"Dallas, TX, US",Very High,0
"Dallas, TX, US",Ultra High,0
"Dallas, TX, USA",Low,0
"Dallas, TX, USA",Medium,16
"Dallas, TX, USA",High,1
"Dallas, TX, USA",Very High,0
"Dallas, TX, USA",Ultra High,0
"Danbury, CT",Low,0
"Danbury, CT",Medium,2
"Danbury, CT",High,0
"Danbury, CT",Very High,0
"Danbury, CT",Ultra High,0
"Danbury, CT, US",Low,0
"Danbury, CT, US",Medium,2
"Danbury, CT, US",High,0
"Danbury, CT, US",Very High,0
"Danbury, CT, US",Ultra High,0
"Danville, IL, US",Low,0
"Danville, IL, US",Medium,2
"Danville, IL, US",High,0
"Danville, IL, US",Very High,0
"Danville, IL, US",Ultra High,0
"Danville, PA",Low,0
"Danville, PA",Medium,1
"Danville, PA",High,0
"Danville, PA",Very High,0
"Danville, PA",Ultra High,0
"Davenport, WA, USA",Low,0
"Davenport, WA, USA",Medium,1
"Davenport, WA, USA",High,0
"Davenport, WA, USA",Very High,0
"Davenport, WA, USA",Ultra High,0
"Davis, CA",Low,0
"Davis, CA",Medium,0
"Davis, CA",High,0
"Davis, CA",Very High,1
"Davis, CA",Ultra High,0
"Dayton, OH, US",Low,0
"Dayton, OH, US",Medium,1
"Dayton, OH, US",High,0
"Dayton, OH, US",Very High,0
"Dayton, OH, US",Ultra High,0
"Dayton, OH, USA",Low,0
"Dayton, OH, USA",Medium,1
"Dayton, OH, USA",High,0
"Dayton, OH, USA",Very High,0
"Dayton, OH, USA",Ultra High,0
"Daytona Beach, FL",Low,2
"Daytona Beach, FL",Medium,1
"Daytona Beach, FL",High,0
"Daytona Beach, FL",Very High,0
"Daytona Beach, FL",Ultra High,0
"Daytona Beach, FL, US",Low,1
"Daytona Beach, FL, US",Medium,1
"Daytona Beach, FL, US",High,0
"Daytona Beach, FL, US",Very High,0
"Daytona Beach, FL, US",Ultra High,0
"Dedham, MA, US",Low,0
"Dedham, MA, US",Medium,1
"Dedham, MA, US",High,0
"Dedham, MA, US",Very High,0
"Dedham, MA, US",Ultra High,0
"Delta Junction, AK, USA",Low,1
"Delta Junction, AK, USA",Medium,0
"Delta Junction, AK, USA",High,0
"Delta Junction, AK, USA",Very High,0
"Delta Junction, AK, USA",Ultra High,0
"Denton, TX, US",Low,0
"Denton, TX, US",Medium,1
"Denton, TX, US",High,0
"Denton, TX, US",Very High,0
"Denton, TX, US",Ultra High,0
"Denton, TX, USA",Low,0
"Denton, TX, USA",Medium,3
"Denton, TX, USA",High,0
"Denton, TX, USA",Very High,0
"Denton, TX, USA",Ultra High,0
"Denver, CO",Low,0
"Denver, CO",Medium,3
"Denver, CO",High,1
"Denver, CO",Very High,0
"Denver, CO",Ultra High,0
"Denver, CO, US",Low,0
"Denver, CO, US",Medium,1
"Denver, CO, US",High,6
"Denver, CO, US",Very High,0
"Denver, CO, US",Ultra High,1
"Denver, CO, USA",Low,0
"Denver, CO, USA",Medium,3
"Denver, CO, USA",High,0
"Denver, CO, USA",Very High,0
"Denver, CO, USA",Ultra High,0
"Des Moines, IA",Low,1
"Des Moines, IA",Medium,0
"Des Moines, IA",High,0
"Des Moines, IA",Very High,0
"Des Moines, IA",Ultra High,0
"Des Moines, IA, US",Low,1
"Des Moines, IA, US",Medium,0
"Des Moines, IA, US",High,1
"Des Moines, IA, US",Very High,0
"Des Moines, IA, US",Ultra High,0
"Des Moines, IA, USA",Low,0
"Des Moines, IA, USA",Medium,1
"Des Moines, IA, USA",High,0
"Des Moines, IA, USA",Very High,0
"Des Moines, IA, USA",Ultra High,0
"Detroit, MI",Low,0
"Detroit, MI",Medium,0
"Detroit, MI",High,1
"Detroit, MI",Very High,0
"Detroit, MI",Ultra High,0
"Detroit, MI, US",Low,1
"Detroit, MI, US",Medium,0
"Detroit, MI, US",High,1
"Detroit, MI, US",Very High,0
"Detroit, MI, US",Ultra High,0
"Doral, FL",Low,1
"Doral, FL",Medium,0
"Doral, FL",High,0
"Doral, FL",Very High,0
"Doral, FL",Ultra High,0
"Dover, DE, US",Low,0
"Dover, DE, US",Medium,1
"Dover, DE, US",High,0
"Dover, DE, US",Very High,0
"Dover, DE, US",Ultra High,0
"Downey, CA",Low,0
"Downey, CA",Medium,1
"Downey, CA",High,0
"Downey, CA",Very High,0
"Downey, CA",Ultra High,0
"Downey, CA, US",Low,0
"Downey, CA, US",Medium,1
"Downey, CA, US",High,0
"Downey, CA, US",Very High,0
"Downey, CA, US",Ultra High,0
"Downey, CA, USA",Low,0
"Downey, CA, USA",Medium,1
"Downey, CA, USA",High,0
"Downey, CA, USA",Very High,0
"Downey, CA, USA",Ultra High,0
"Draper, UT, US",Low,0
"Draper, UT, US",Medium,2
"Draper, UT, US",High,2
"Draper, UT, US",Very High,0
"Draper, UT, US",Ultra High,0
"Dublin, CA, USA",Low,1
"Dublin, CA, USA",Medium,1
"Dublin, CA, USA",High,0
"Dublin, CA, USA",Very High,1
"Dublin, CA, USA",Ultra High,0
"Dubuque, IA, US",Low,0
"Dubuque, IA, US",Medium,1
"Dubuque, IA, US",High,0
"Dubuque, IA, US",Very High,0
"Dubuque, IA, US",Ultra High,0
"Duluth, MN, US",Low,0
"Duluth, MN, US",Medium,1
"Duluth, MN, US",High,0
"Duluth, MN, US",Very High,0
"Duluth, MN, US",Ultra High,0
"Durham, NC",Low,2
"Durham, NC",Medium,1
"Durham, NC",High,0
"Durham, NC",Very High,0
"Durham, NC",Ultra High,0
"East Brunswick, NJ, US",Low,0
"East Brunswick, NJ, US",Medium,0
"East Brunswick, NJ, US",High,1
"East Brunswick, NJ, US",Very High,0
"East Brunswick, NJ, US",Ultra High,0
"East Chicago, IN",Low,0
"East Chicago, IN",Medium,1
"East Chicago, IN",High,0
"East Chicago, IN",Very High,0
"East Chicago, IN",Ultra High,0
"East Chicago, IN, US",Low,0
"East Chicago, IN, US",Medium,2
"East Chicago, IN, US",High,0
"East Chicago, IN, US",Very High,0
"East Chicago, IN, US",Ultra High,0
"East Lansing, MI",Low,1
"East Lansing, MI",Medium,0
"East Lansing, MI",High,0
"East Lansing, MI",Very High,0
"East Lansing, MI",Ultra High,0
"East Pittsburgh, PA, US",Low,0
"East Pittsburgh, PA, US",Medium,0
"East Pittsburgh, PA, US",High,1
"East Pittsburgh, PA, US",Very High,0
"East Pittsburgh, PA, US",Ultra High,0
"Eden Prairie, MN",Low,0
"Eden Prairie, MN",Medium,1
"Eden Prairie, MN",High,2
"Eden Prairie, MN",Very High,0
"Eden Prairie, MN",Ultra High,0
"Eden Prairie, MN, US",Low,0
"Eden Prairie, MN, US",Medium,1
"Eden Prairie, MN, US",High,0
"Eden Prairie, MN, US",Very High,0
"Eden Prairie, MN, US",Ultra High,0
"Eden Prairie, MN, USA",Low,0
"Eden Prairie, MN, USA",Medium,1
"Eden Prairie, MN, USA",High,0
"Eden Prairie, MN, USA",Very High,0
"Eden Prairie, MN, USA",Ultra High,0
"Edgewood, MD, US",Low,0
"Edgewood, MD, US",Medium,1
"Edgewood, MD, US",High,0
"Edgewood, MD, US",Very High,0
"Edgewood, MD, US",Ultra High,0
"Edgewood, MD, USA",Low,0
"Edgewood, MD, USA",Medium,1
"Edgewood, MD, USA",High,0
"Edgewood, MD, USA",Very High,0
"Edgewood, MD, USA",Ultra High,0
"Edison, NJ",Low,0
"Edison, NJ",Medium,1
"Edison, NJ",High,0
"Edison, NJ",Very High,0
"Edison, NJ",Ultra High,0
"Edison, NJ, US",Low,0
"Edison, NJ, US",Medium,1
"Edison, NJ, US",High,0
"Edison, NJ, US",Very High,0
"Edison, NJ, US",Ultra High,0
"Egg Harbor Township, NJ",Low,0
"Egg Harbor Township, NJ",Medium,1
"Egg Harbor Township, NJ",High,0
"Egg Harbor Township, NJ",Very High,0
"Egg Harbor Township, NJ",Ultra High,0
"El Cajon, CA, USA",Low,0
"El Cajon, CA, USA",Medium,1
"El Cajon, CA, USA",High,0
"El Cajon, CA, USA",Very High,0
"El Cajon, CA, USA",Ultra High,0
"El Centro, CA, US",Low,1
"El Centro, CA, US",Medium,0
"El Centro, CA, US",High,0
"El Centro, CA, US",Very High,0
"El Centro, CA, US",Ultra High,0
"El Dorado Hills, CA, USA",Low,0
"El Dorado Hills, CA, USA",Medium,1
"El Dorado Hills, CA, USA",High,0
"El Dorado Hills, CA, USA",Very High,0
"El Dorado Hills, CA, USA",Ultra High,0
"El Monte, CA, USA",Low,1
"El Monte, CA, USA",Medium,0
"El Monte, CA, USA",High,0
"El Monte, CA, USA",Very High,0
"El Monte, CA, USA",Ultra High,0
"El Paso, TX, US",Low,0
"El Paso, TX, US",Medium,1
"El Paso, TX, US",High,0
"El Paso, TX, US",Very High,0
"El Paso, TX, US",Ultra High,0
"El Segundo, CA, US",Low,0
"El Segundo, CA, US",Medium,1
"El Segundo, CA, US",High,0
"El Segundo, CA, US",Very High,0
"El Segundo, CA, US",Ultra High,0
"El Segundo, CA, USA",Low,0
"El Segundo, CA, USA",Medium,1
"El Segundo, CA, USA",High,1
"El Segundo, CA, USA",Very High,0
"El Segundo, CA, USA",Ultra High,0
"Elizabeth City, NC, US",Low,0
"Elizabeth City, NC, US",Medium,1
"Elizabeth City, NC, US",High,0
"Elizabeth City, NC, US",Very High,0
"Elizabeth City, NC, US",Ultra High,0
"Elk Grove, CA, USA",Low,0
"Elk Grove, CA, USA",Medium,1
"Elk Grove, CA, USA",High,0
"Elk Grove, CA, USA",Very High,0
"Elk Grove, CA, USA",Ultra High,0
"Elkhart, IN, US",Low,0
"Elkhart, IN, US",Medium,1
"Elkhart, IN, US",High,0
"Elkhart, IN, US",Very High,0
"Elkhart, IN, US",Ultra High,0
"Elmsford, NY, US",Low,0
"Elmsford, NY, US",Medium,0
"Elmsford, NY, US",High,1
"Elmsford, NY, US",Very High,0
"Elmsford, NY, US",Ultra High,0
"Elsmere, NY",Low,0
"Elsmere, NY",Medium,1
"Elsmere, NY",High,0
"Elsmere, NY",Very High,0
"Elsmere, NY",Ultra High,0
"Emeryville, CA, USA",Low,1
"Emeryville, CA, USA",Medium,1
"Emeryville, CA, USA",High,0
"Emeryville, CA, USA",Very High,0
"Emeryville, CA, USA",Ultra High,0
"Endicott, NY",Low,1
"Endicott, NY",Medium,0
"Endicott, NY",High,0
"Endicott, NY",Very High,0
"Endicott, NY",Ultra High,0
"Englewood, CO, USA",Low,1
"Englewood, CO, USA",Medium,0
"Englewood, CO, USA",High,0
"Englewood, CO, USA",Very High,0
"Englewood, CO, USA",Ultra High,0
"Erie, PA",Low,0
"Erie, PA",Medium,0
"Erie, PA",High,1
"Erie, PA",Very High,0
"Erie, PA",Ultra High,0
"Erie, PA, US",Low,0
"Erie, PA, US",Medium,0
"Erie, PA, US",High,1
"Erie, PA, US",Very High,0
"Erie, PA, US",Ultra High,0
"Erlanger, KY",Low,0
"Erlanger, KY",Medium,1
"Erlanger, KY",High,0
"Erlanger, KY",Very High,0
"Erlanger, KY",Ultra High,0
"Eugene, OR, USA",Low,0
"Eugene, OR, USA",Medium,2
"Eugene, OR, USA",High,0
"Eugene, OR, USA",Very High,0
"Eugene, OR, USA",Ultra High,0
"Evansville, IN",Low,0
"Evansville, IN",Medium,1
"Evansville, IN",High,0
"Evansville, IN",Very High,0
"Evansville, IN",Ultra High,0
"Evansville, IN, US",Low,0
"Evansville, IN, US",Medium,1
"Evansville, IN, US",High,1
"Evansville, IN, US",Very High,0
"Evansville, IN, US",Ultra High,0
"Everett, WA, USA",Low,0
"Everett, WA, USA",Medium,2
"Everett, WA, USA",High,0
"Everett, WA, USA",Very High,0
"Everett, WA, USA",Ultra High,0
"Ewing Township, NJ",Low,0
"Ewing Township, NJ",Medium,1
"Ewing Township, NJ",High,0
"Ewing Township, NJ",Very High,0
"Ewing Township, NJ",Ultra High,0
"Exton, PA",Low,0
"Exton, PA",Medium,1
"Exton, PA",High,0
"Exton, PA",Very High,0
"Exton, PA",Ultra High,0
"Exton, PA, US",Low,0
"Exton, PA, US",Medium,1
"Exton, PA, US",High,1
"Exton, PA, US",Very High,0
"Exton, PA, US",Ultra High,0
"FL, US",Low,0
"FL, US",Medium,0
"FL, US",High,1
"FL, US",Very High,0
"FL, US",Ultra High,0
"Fairfax, VA",Low,1
"Fairfax, VA",Medium,1
"Fairfax, VA",High,0
"Fairfax, VA",Very High,0
"Fairfax, VA",Ultra High,0
"Fairfax, VA, US",Low,0
"Fairfax, VA, US",Medium,1
